spatial_unit,pickup_count,avg_distance,avg_duration_min,avg_price,short_trip_ratio,late_pickup_ratio,weekend_pickup_ratio,dropoff_count,active_night_hours,active_nights,max_hourly_activity,weekday_avg_activity,weekend_avg_activity,total_activity,inflow_outflow_balance,activity_persistence,weekend_boost,night_vitality_score,cluster_id,region_type
8731aa571ffffff,515.0,17.271005825242717,50.39718446601942,0.0,0.02524271844660194,0.3592233009708738,0.4563106796116505,506.0,42,6,63,17.821428571428573,37.285714285714285,1021.0,-0.00881488736532811,1.0,2.0341555977229597,82.15,4,mixed_evening_area
8731aa0a4ffffff,361.0,20.982070360110804,48.56163434903047,0.0,0.04709141274238227,0.33240997229916897,0.518005540166205,375.0,42,6,52,12.5,27.571428571428573,736.0,0.019021739130434784,1.0,2.1164021164021167,82.07,4,mixed_evening_area
8731aa19dffffff,1189.0,8.735519680403701,49.03063078216989,0.0,0.07653490328006729,0.29857022708158115,0.5071488645920942,894.0,42,6,171,28.928571428571427,90.92857142857143,2083.0,-0.14162265962554008,1.0,3.0715990453460624,82.0,2,nightlife_core
8731aa462ffffff,1537.0,17.024742875731945,50.67523747560182,0.0,0.01951854261548471,0.3259596616785947,0.44046844502277166,1497.0,42,6,150,54.42857142857143,107.85714285714286,3034.0,-0.013183915622940013,1.0,1.9639175257731958,81.5,2,nightlife_core
8731aa18affffff,1657.0,25.718377368738686,51.72647555823778,0.0,0.02112251056125528,0.32226916113458054,0.44417622208811103,1231.0,42,6,186,46.285714285714285,113.71428571428571,2888.0,-0.14750692520775624,1.0,2.4259818731117826,81.49,2,nightlife_core
8731aa475ffffff,2908.0,16.677094119669874,51.319972489683636,0.0,0.01925722145804677,0.3218707015130674,0.43672627235213207,2808.0,42,6,296,99.96428571428571,208.35714285714286,5716.0,-0.01749475157452764,1.0,2.073576229218253,81.46,2,nightlife_core
8731aa431ffffff,2736.0,17.03538961988304,50.33153143274854,0.0,0.033625730994152045,0.30701754385964913,0.4444444444444444,2628.0,42,6,243,91.46428571428571,200.21428571428572,5364.0,-0.020134228187919462,1.0,2.1761297798377752,81.45,2,nightlife_core
8731aa50dffffff,994.0,17.25526911468813,50.585895372233395,0.0,0.02112676056338028,0.29074446680080485,0.48390342052313884,928.0,42,6,102,32.285714285714285,72.71428571428571,1922.0,-0.03433922996878252,1.0,2.2145922746781115,80.99,2,nightlife_core
8731aa559ffffff,1450.0,16.565336068965518,51.3954,0.0,0.015862068965517243,0.3489655172413793,0.4296551724137931,1367.0,42,6,134,51.785714285714285,97.64285714285714,2817.0,-0.029463968761093362,1.0,1.868741542625169,80.95,2,nightlife_core
8731aa550ffffff,1263.0,16.555038242280283,51.40792557403009,0.0,0.026920031670625493,0.2905779889152811,0.43626286619160726,1201.0,42,6,142,44.32142857142857,87.35714285714286,2464.0,-0.025162337662337664,1.0,1.9495665878644604,80.92,2,nightlife_core
8731aa434ffffff,913.0,17.162546878422784,50.701500547645125,0.0,0.01642935377875137,0.3132530120481928,0.4370208105147864,791.0,42,6,94,30.785714285714285,60.142857142857146,1704.0,-0.0715962441314554,1.0,1.9235955056179777,80.89,2,nightlife_core
8731aa55bffffff,2901.0,16.24628383316098,51.405377456049635,0.0,0.01964839710444674,0.31747673216132366,0.4319200275766977,2674.0,42,6,308,102.0,194.21428571428572,5575.0,-0.04071748878923767,1.0,1.8952843273231623,80.75,2,nightlife_core
8731aa52effffff,363.0,16.70760606060606,50.23757575757576,0.0,0.01652892561983471,0.3168044077134986,0.42699724517906334,332.0,41,6,38,12.592592592592593,25.357142857142858,695.0,-0.04460431654676259,0.9761904761904762,1.9390813546126897,80.69,4,mixed_evening_area
8731aa52bffffff,532.0,15.956684962406014,49.74112781954887,0.0,0.041353383458646614,0.31390977443609025,0.3966165413533835,464.0,42,6,46,18.25,34.642857142857146,996.0,-0.06827309236947791,1.0,1.8515769944341374,80.64,4,mixed_evening_area
8731aa474ffffff,2089.0,16.74944140737195,51.44597893729057,0.0,0.014360938247965534,0.34753470560076594,0.39875538535184296,1955.0,42,6,177,75.21428571428571,138.42857142857142,4044.0,-0.033135509396636995,1.0,1.8294283036551078,80.55,2,nightlife_core
8731aa42cffffff,680.0,15.949065,51.82039705882353,0.0,0.01911764705882353,0.3323529411764706,0.4426470588235294,595.0,42,6,82,23.464285714285715,44.142857142857146,1275.0,-0.06666666666666667,1.0,1.845255474452555,80.53,4,mixed_evening_area
8731aa519ffffff,1146.0,17.275064485165796,51.418184991273996,0.0,0.011343804537521814,0.2949389179755672,0.45200698080279234,945.0,42,6,129,37.92857142857143,73.5,2091.0,-0.09612625538020086,1.0,1.9137614678899082,80.42,2,nightlife_core
8731aa566ffffff,287.0,17.59240801393728,48.61006968641115,0.0,0.027874564459930314,0.397212543554007,0.4564459930313589,255.0,42,6,31,9.392857142857142,19.928571428571427,542.0,-0.05904059040590406,1.0,2.013745704467354,80.38,4,mixed_evening_area
8731aa50affffff,1433.0,17.1161729239358,51.72352407536636,0.0,0.011165387299371946,0.2930914166085136,0.4319609211444522,1371.0,42,6,150,50.964285714285715,98.35714285714286,2804.0,-0.02211126961483595,1.0,1.9120274914089348,80.37,2,nightlife_core
8731aa529ffffff,369.0,18.630262330623307,50.0869647696477,0.0,0.03523035230352303,0.3116531165311653,0.47696476964769646,407.0,42,6,41,14.25,26.928571428571427,776.0,0.04896907216494845,1.0,1.831381733021077,80.33,4,mixed_evening_area
8731aa55affffff,2589.0,16.10329300888374,51.489424488219385,0.0,0.019312475859405175,0.35650830436461955,0.39822325222093474,2467.0,42,6,253,95.32142857142857,170.5,5056.0,-0.024129746835443038,1.0,1.7804968483500185,80.33,2,nightlife_core
8731aa55dffffff,2269.0,16.64173393565447,50.72931687968268,0.0,0.01498457470251212,0.3124724548259145,0.42133098281181136,2205.0,42,6,224,82.46428571428571,154.64285714285714,4474.0,-0.014304872597228431,1.0,1.8647839109970048,80.32,2,nightlife_core
8731aa555ffffff,1615.0,16.685750959752323,50.94055108359134,0.0,0.022910216718266253,0.2755417956656347,0.44891640866873067,1462.0,42,6,196,56.0,107.78571428571429,3077.0,-0.049723756906077346,1.0,1.9085213032581454,80.25,2,nightlife_core
8731aa542ffffff,1031.0,16.86610572259942,50.755509214354994,0.0,0.012609117361784675,0.30940834141610085,0.41610087293889425,953.0,42,6,99,36.42857142857143,68.85714285714286,1984.0,-0.03931451612903226,1.0,1.866412213740458,80.25,2,nightlife_core
8731aa548ffffff,866.0,15.279529445727484,49.12051963048499,0.0,0.054272517321016164,0.30138568129330257,0.4122401847575058,915.0,42,6,91,33.214285714285715,60.785714285714285,1781.0,0.027512633352049412,1.0,1.8058455114822547,80.24,2,nightlife_core
8731aa51dffffff,1061.0,17.810150612629595,52.08153628652215,0.0,0.015080113100848256,0.2827521206409048,0.4505183788878417,880.0,42,6,122,35.25,68.14285714285714,1941.0,-0.09325090159711488,1.0,1.9073891625615762,80.23,2,nightlife_core
8731aa556ffffff,1445.0,16.532953840830448,51.139391003460204,0.0,0.019377162629757784,0.28027681660899656,0.46643598615916954,1371.0,42,6,164,51.357142857142854,98.42857142857143,2816.0,-0.026278409090909092,1.0,1.8990450204638474,80.18,2,nightlife_core
8731aa576ffffff,406.0,17.596668965517242,50.18918719211823,0.0,0.009852216748768473,0.29802955665024633,0.41133004926108374,379.0,42,6,45,14.214285714285714,27.642857142857142,785.0,-0.034394904458598725,1.0,1.8826291079812207,80.17,4,mixed_evening_area
8731aa508ffffff,996.0,16.24344658634538,51.581726907630525,0.0,0.014056224899598393,0.24397590361445784,0.4578313253012048,927.0,42,6,130,34.142857142857146,69.07142857142857,1923.0,-0.0358814352574103,1.0,1.99390243902439,80.13,2,nightlife_core
8731aa422ffffff,1186.0,16.18363524451939,51.45731028667791,0.0,0.01854974704890388,0.26981450252951095,0.4494097807757167,1044.0,42,6,130,40.5,78.28571428571429,2230.0,-0.06367713004484304,1.0,1.9104991394148023,80.11,2,nightlife_core
8731aa428ffffff,973.0,16.63608211716341,50.6225282631038,0.0,0.017471736896197326,0.29907502569373073,0.4419321685508736,798.0,42,6,96,32.57142857142857,61.357142857142854,1771.0,-0.09881422924901186,1.0,1.8574468085106384,80.08,2,nightlife_core
8731aa573ffffff,984.0,17.60547418699187,51.47070121951219,0.0,0.013211382113821139,0.2550813008130081,0.4369918699186992,843.0,42,6,119,32.857142857142854,64.78571428571429,1827.0,-0.07717569786535304,1.0,1.9430379746835447,80.08,2,nightlife_core
8731aa5a9ffffff,575.0,16.156069739130437,49.62681739130434,0.0,0.022608695652173914,0.32521739130434785,0.40869565217391307,526.0,42,6,57,20.5,37.642857142857146,1101.0,-0.04450499545867393,1.0,1.79734219269103,80.04,4,mixed_evening_area
8731aa54affffff,866.0,16.30969584295612,49.15511547344111,0.0,0.04503464203233257,0.3244803695150115,0.4284064665127021,820.0,42,6,88,31.892857142857142,56.642857142857146,1686.0,-0.027283511269276393,1.0,1.7524429967426713,79.98,2,nightlife_core
8731aa558ffffff,2143.0,16.178731451236587,51.335221651889874,0.0,0.021465235650956604,0.34391040597293515,0.4111059262715819,2035.0,42,6,193,79.25,139.92857142857142,4178.0,-0.02584968884633796,1.0,1.7561192701379615,79.94,2,nightlife_core
8731aa572ffffff,897.0,17.726716610925305,50.655373467112604,0.0,0.017837235228539576,0.2653288740245262,0.44258639910813824,849.0,42,6,96,31.785714285714285,61.142857142857146,1746.0,-0.027491408934707903,1.0,1.8954248366013073,79.89,2,nightlife_core
8731aa50cffffff,1011.0,16.827187240356082,51.3760237388724,0.0,0.018793273986152326,0.3333333333333333,0.39762611275964393,929.0,42,6,89,36.535714285714285,65.5,1940.0,-0.042268041237113405,1.0,1.7716460513796386,79.87,2,nightlife_core
8731aa435ffffff,1510.0,16.772926026490065,51.40250993377483,0.0,0.013245033112582781,0.22781456953642384,0.45695364238410596,1273.0,42,6,179,48.5,101.78571428571429,2783.0,-0.0851598993891484,1.0,2.076479076479077,79.86,2,nightlife_core
8731aa415ffffff,437.0,17.54594347826087,49.405766590389014,0.0,0.02517162471395881,0.30205949656750575,0.4439359267734554,369.0,42,6,42,14.928571428571429,27.714285714285715,806.0,-0.08436724565756824,1.0,1.8026905829596414,79.75,4,mixed_evening_area
8731aa546ffffff,1102.0,16.994951814882032,51.00996370235935,0.0,0.029038112522686024,0.26860254083484575,0.4355716878402904,1152.0,42,6,127,41.57142857142857,77.85714285714286,2254.0,0.022182786157941437,1.0,1.8523489932885908,79.73,2,nightlife_core
8731aa430ffffff,530.0,16.569304150943395,50.19379245283019,0.0,0.026415094339622643,0.25471698113207547,0.4490566037735849,474.0,42,6,60,18.25,35.214285714285715,1004.0,-0.055776892430278883,1.0,1.88126159554731,79.73,4,mixed_evening_area
8731aa41cffffff,348.0,18.196103735632185,47.04758620689655,0.0,0.017241379310344827,0.3735632183908046,0.39655172413793105,282.0,42,6,36,11.821428571428571,21.357142857142858,630.0,-0.10476190476190476,1.0,1.743732590529248,79.72,4,mixed_evening_area
